Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 6, 'n_head': 3, 'n_kv_head': 3, 'n_embd': 384, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 3,145,728
  value_embeds            : 9,437,184
  lm_head                 : 3,145,728
  transformer_matrices    : 10,617,120
  scalars                 : 12
  total                   : 26,345,772
Estimated FLOPs per token: 1.203258e+08
Scaling AdamW LRs by 1/sqrt(384/768) = 1.414214
Time budget: 300s
Gradient accumulation steps: 1
step 00000 (0.0%) | loss: 9.011034 | lrm: 1.00 | dt: 6711ms | tok/sec: 4,882 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00540 (23.3%) | loss: 3.758814 | lrm: 1.00 | dt: 133ms | tok/sec: 246,233 | mfu: 3.0% | epoch: 1 | remaining: 230s    
step 00541 (23.4%) | loss: 3.764449 | lrm: 1.00 | dt: 133ms | tok/sec: 246,328 | mfu: 3.0% | epoch: 1 | remaining: 230s    
step 00542 (23.4%) | loss: 3.764052 | lrm: 1.00 | dt: 133ms | tok/sec: 246,391 | mfu: 3.0% | epoch: 1 | remaining: 230s    
step 00543 (23.5%) | loss: 3.759519 | lrm: 1.00 | dt: 133ms | tok/sec: 246,453 | mfu: 3.0% | epoch: 1 | remaining: 229s    
step 00544 (23.5%) | loss: 3.757429 | lrm: 1.00 | dt: 133ms | tok/sec: 246,037 | mfu: 3.0% | epoch: 1 | remaining: 229s    
step 00545 (23.6%) | loss: 3.754811 | lrm: 1.00 | dt: 133ms | tok/sec: 245,886 | mfu: 3.0% | epoch: 1 | remaining: 229s    
step 00546 (23.6%) | loss: 3.750777 | lrm: 1.00 | dt: 133ms | tok/sec: 246,583 | mfu: 3.0% | epoch: 1 | remaining: 229s    
step 00547 (23.7%) | loss: 3.750467 | lrm: 1.00 | dt: 133ms | tok/sec: 245,922 | mfu: 3.0% | epoch: 1 | remaining: 229s    
step 00548 (23.7%) | loss: 3.744888 | lrm: 1.00 | dt: 133ms | tok/sec: 246,662 | mfu: 3.0% | epoch: 1 | remaining: 229s    
step 00549 (23.7%) | loss: 3.747553 | lrm: 1.00 | dt: 133ms | tok/sec: 246,084 | mfu: 3.0% | epoch: 1 | remaining: 229s    
step 00550 (23.8%) | loss: 3.745415 | lrm: 1.00 | dt: 133ms | tok/sec: 246,177 | mfu: 3.0% | epoch: 1 | remaining: 228s    
step 00551 (23.8%) | loss: 3.738506 | lrm: 1.00 | dt: 133ms | tok/sec: 245,562 | mfu: 3.0% | epoch: 1 | remaining: 228s    
step 00552 (23.9%) | loss: 3.735175 | lrm: 1.00 | dt: 134ms | tok/sec: 245,338 | mfu: 3.0% | epoch: 1 | remaining: 228s    
step 00553 (23.9%) | loss: 3.728293 | lrm: 1.00 | dt: 134ms | tok/sec: 245,430 | mfu: 3.0% | epoch: 1 | remaining: 228s    
step 00554 (24.0%) | loss: 3.715789 | lrm: 1.00 | dt: 134ms | tok/sec: 245,354 | mfu: 3.0% | epoch: 1 | remaining: 228s    
step 00555 (24.0%) | loss: 3.722745 | lrm: 1.00 | dt: 134ms | tok/sec: 245,288 | mfu: 3.0% | epoch: 1 | remaining: 228s    
step 00556 (24.1%) | loss: 3.725589 | lrm: 1.00 | dt: 134ms | tok/sec: 245,244 | mfu: 3.0% | epoch: 1 | remaining: 228s    
step 00557 (24.1%) | loss: 3.720656 | lrm: 1.00 | dt: 134ms | tok/sec: 245,112 | mfu: 3.0% | epoch: 1 | remaining: 228s    
step 00558 (24.1%) | loss: 3.715945 | lrm: 1.00 | dt: 134ms | tok/sec: 244,978 | mfu: 3.0% | epoch: 1 | remaining: 227s    
step 00559 (24.2%) | loss: 3.725877 | lrm: 1.00 | dt: 134ms | tok/sec: 245,346 | mfu: 3.0% | epoch: 1 | remaining: 227s    
step 00560 (24.2%) | loss: 3.718671 | lrm: 1.00 | dt: 134ms | tok/sec: 245,206 | mfu: 3.0% | epoch: 1 | remaining: 227s    
step 00561 (24.3%) | loss: 3.713803 | lrm: 1.00 | dt: 134ms | tok/sec: 245,159 | mfu: 3.0% | epoch: 1 | remaining: 227s    
step 00562 (24.3%) | loss: 3.718074 | lrm: 1.00 | dt: 134ms | tok/sec: 245,363 | mfu: 3.0% | epoch: 1 | remaining: 227s    
step 00563 (24.4%) | loss: 3.711740 | lrm: 1.00 | dt: 134ms | tok/sec: 245,011 | mfu: 3.0% | epoch: 1 | remaining: 227s    
step 00564 (24.4%) | loss: 3.708869 | lrm: 1.00 | dt: 134ms | tok/sec: 245,162 | mfu: 3.0% | epoch: 1 | remaining: 227s    
step 00565 (24.5%) | loss: 3.718091 | lrm: 1.00 | dt: 134ms | tok/sec: 245,352 | mfu: 3.0% | epoch: 1 | remaining: 226s    
step 00566 (24.5%) | loss: 3.708063 | lrm: 1.00 | dt: 134ms | tok/sec: 245,157 | mfu: 3.0% | epoch: 1 | remaining: 226s    
step 00567 (24.5%) | loss: 3.722151 | lrm: 1.00 | dt: 134ms | tok/sec: 245,137 | mfu: 3.0% | epoch: 1 | remaining: 226s    
step 00568 (24.6%) | loss: 3.709377 | lrm: 1.00 | dt: 134ms | tok/sec: 245,312 | mfu: 3.0% | epoch: 1 | remaining: 226s    
step 00569 (24.6%) | loss: 3.721097 | lrm: 1.00 | dt: 134ms | tok/sec: 244,924 | mfu: 3.0% | epoch: 1 | remaining: 226s    
step 00570 (24.7%) | loss: 3.719955 | lrm: 1.00 | dt: 134ms | tok/sec: 244,744 | mfu: 3.0% | epoch: 1 | remaining: 226s    
step 00571 (24.7%) | loss: 3.728970 | lrm: 1.00 | dt: 134ms | tok/sec: 245,011 | mfu: 3.0% | epoch: 1 | remaining: 226s    
step 00572 (24.8%) | loss: 3.729340 | lrm: 1.00 | dt: 134ms | tok/sec: 245,327 | mfu: 3.0% | epoch: 1 | remaining: 226s    
step 00573 (24.8%) | loss: 3.723944 | lrm: 1.00 | dt: 134ms | tok/sec: 244,879 | mfu: 3.0% | epoch: 1 | remaining: 225s    
step 00574 (24.9%) | loss: 3.722779 | lrm: 1.00 | dt: 134ms | tok/sec: 244,913 | mfu: 3.0% | epoch: 1 | remaining: 225s    
step 00575 (24.9%) | loss: 3.729944 | lrm: 1.00 | dt: 134ms | tok/sec: 244,911 | mfu: 3.0% | epoch: 1 | remaining: 225s    
step 00576 (25.0%) | loss: 3.736631 | lrm: 1.00 | dt: 134ms | tok/sec: 245,215 | mfu: 3.0% | epoch: 1 | remaining: 225s    
step 00577 (25.0%) | loss: 3.733166 | lrm: 1.00 | dt: 134ms | tok/sec: 245,432 | mfu: 3.0% | epoch: 1 | remaining: 225s    
step 00578 (25.0%) | loss: 3.731702 | lrm: 1.00 | dt: 134ms | tok/sec: 245,324 | mfu: 3.0% | epoch: 1 | remaining: 225s    
step 00579 (25.1%) | loss: 3.728221 | lrm: 1.00 | dt: 134ms | tok/sec: 245,229 | mfu: 3.0% | epoch: 1 | remaining: 225s    
step 00580 (25.1%) | loss: 3.721458 | lrm: 1.00 | dt: 134ms | tok/sec: 245,433 | mfu: 3.0% | epoch: 1 | remaining: 224s    
step 00581 (25.2%) | loss: 3.722254 | lrm: 1.00 | dt: 134ms | tok/sec: 245,215 | mfu: 3.0% | epoch: 1 | remaining: 224s    
step 00582 (25.2%) | loss: 3.735112 | lrm: 1.00 | dt: 134ms | tok/sec: 245,178 | mfu: 3.0% | epoch: 1 | remaining: 224s    
step 00583 (25.3%) | loss: 3.738648 | lrm: 1.00 | dt: 134ms | tok/sec: 245,382 | mfu: 3.0% | epoch: 1 | remaining: 224s    
step 00584 (25.3%) | loss: 3.741117 | lrm: 1.00 | dt: 134ms | tok/sec: 245,187 | mfu: 3.0% | epoch: 1 | remaining: 224s    
step 00585 (25.4%) | loss: 3.735616 | lrm: 1.00 | dt: 134ms | tok/sec: 245,313 | mfu: 3.0% | epoch: 1 | remaining: 224s    
step 00586 (25.4%) | loss: 3.748357 | lrm: 1.00 | dt: 134ms | tok/sec: 245,032 | mfu: 3.0% | epoch: 1 | remaining: 224s    
step 00587 (25.4%) | loss: 3.740917 | lrm: 1.00 | dt: 134ms | tok/sec: 245,152 | mfu: 3.0% | epoch: 1 | remaining: 224s    
step 00588 (25.5%) | loss: 3.739345 | lrm: 1.00 | dt: 134ms | tok/sec: 245,209 | mfu: 3.0% | epoch: 1 | remaining: 223s    
step 00589 (25.5%) | loss: 3.726467 | lrm: 1.00 | dt: 134ms | tok/sec: 245,091 | mfu: 3.0% | epoch: 1 | remaining: 223s    
step 00590 (25.6%) | loss: 3.722184 | lrm: 1.00 | dt: 134ms | tok/sec: 244,991 | mfu: 3.0% | epoch: 1 | remaining: 223s    
step 00591 (25.6%) | loss: 3.710980 | lrm: 1.00 | dt: 134ms | tok/sec: 245,026 | mfu: 3.0% | epoch: 1 | remaining: 223s    
step 00592 (25.7%) | loss: 3.724276 | lrm: 1.00 | dt: 134ms | tok/sec: 245,078 | mfu: 3.0% | epoch: 1 | remaining: 223s    
step 00593 (25.7%) | loss: 3.736592 | lrm: 1.00 | dt: 134ms | tok/sec: 245,430 | mfu: 3.0% | epoch: 1 | remaining: 223s    
step 00594 (25.8%) | loss: 3.725657 | lrm: 1.00 | dt: 134ms | tok/sec: 245,163 | mfu: 3.0% | epoch: 1 | remaining: 223s    
step 00595 (25.8%) | loss: 3.729009 | lrm: 1.00 | dt: 134ms | tok/sec: 244,757 | mfu: 3.0% | epoch: 1 | remaining: 222s    
step 00596 (25.8%) | loss: 3.737229 | lrm: 1.00 | dt: 134ms | tok/sec: 244,524 | mfu: 3.0% | epoch: 1 | remaining: 222s    
step 00597 (25.9%) | loss: 3.735138 | lrm: 1.00 | dt: 134ms | tok/sec: 244,895 | mfu: 3.0% | epoch: 1 | remaining: 222s    
step 00598 (25.9%) | loss: 3.722270 | lrm: 1.00 | dt: 134ms | tok/sec: 245,073 | mfu: 3.0% | epoch: 1 | remaining: 222s    
step 00599 (26.0%) | loss: 3.721883 | lrm: 1.00 | dt: 134ms | tok/sec: 245,031 | mfu: 3.0% | epoch: 1 | remaining: 222s    
step 00600 (26.0%) | loss: 3.702302 | lrm: 1.00 | dt: 134ms | tok/sec: 245,096 | mfu: 3.0% | epoch: 1 | remaining: 222s    
step 00601 (26.1%) | loss: 3.700182 | lrm: 1.00 | dt: 134ms | tok/sec: 245,062 | mfu: 3.0% | epoch: 1 | remaining: 222s    
step 00602 (26.1%) | loss: 3.718423 | lrm: 1.00 | dt: 134ms | tok/sec: 245,011 | mfu: 3.0% | epoch: 1 | remaining: 222s    
step 00603 (26.2%) | loss: 3.724476 | lrm: 1.00 | dt: 134ms | tok/sec: 245,014 | mfu: 3.0% | epoch: 1 | remaining: 221s    
step 00604 (26.2%) | loss: 3.724389 | lrm: 1.00 | dt: 134ms | tok/sec: 244,816 | mfu: 3.0% | epoch: 1 | remaining: 221s    
step 00605 (26.2%) | loss: 3.725126 | lrm: 1.00 | dt: 134ms | tok/sec: 245,205 | mfu: 3.0% | epoch: 1 | remaining: 221s    
step 00606 (26.3%) | loss: 3.718352 | lrm: 1.00 | dt: 134ms | tok/sec: 244,873 | mfu: 3.0% | epoch: 1 | remaining: 221s    
step 00607 (26.3%) | loss: 3.725743 | lrm: 1.00 | dt: 134ms | tok/sec: 245,369 | mfu: 3.0% | epoch: 1 | remaining: 221s    
step 00608 (26.4%) | loss: 3.715722 | lrm: 1.00 | dt: 134ms | tok/sec: 245,052 | mfu: 3.0% | epoch: 1 | remaining: 221s    
step 00609 (26.4%) | loss: 3.723015 | lrm: 1.00 | dt: 134ms | tok/sec: 245,359 | mfu: 3.0% | epoch: 1 | remaining: 221s    
step 00610 (26.5%) | loss: 3.721730 | lrm: 1.00 | dt: 134ms | tok/sec: 245,086 | mfu: 3.0% | epoch: 1 | remaining: 220s    
step 00611 (26.5%) | loss: 3.714712 | lrm: 1.00 | dt: 134ms | tok/sec: 245,303 | mfu: 3.0% | epoch: 1 | remaining: 220s    
step 00612 (26.6%) | loss: 3.708277 | lrm: 1.00 | dt: 134ms | tok/sec: 245,372 | mfu: 3.0% | epoch: 1 | remaining: 220s    
step 00613 (26.6%) | loss: 3.707045 | lrm: 1.00 | dt: 134ms | tok/sec: 245,112 | mfu: 3.0% | epoch: 1 | remaining: 220s    
step 00614 (26.6%) | loss: 3.715563 | lrm: 1.00 | dt: 134ms | tok/sec: 245,012 | mfu: 3.0% | epoch: 1 | remaining: 220s    
step 00615 (26.7%) | loss: 3.715098 | lrm: 1.00 | dt: 134ms | tok/sec: 245,257 | mfu: 3.0% | epoch: 1 | remaining: 220s    
step 00616 (26.7%) | loss: 3.726316 | lrm: 1.00 | dt: 134ms | tok/sec: 245,132 | mfu: 3.0% | epoch: 1 | remaining: 220s    
step 00617 (26.8%) | loss: 3.726958 | lrm: 1.00 | dt: 134ms | tok/sec: 245,054 | mfu: 3.0% | epoch: 1 | remaining: 220s    
step 00618 (26.8%) | loss: 3.734800 | lrm: 1.00 | dt: 134ms | tok/sec: 245,036 | mfu: 3.0% | epoch: 1 | remaining: 219s    
step 00619 (26.9%) | loss: 3.711071 | lrm: 1.00 | dt: 134ms | tok/sec: 244,690 | mfu: 3.0% | epoch: 1 | remaining: 219s    
step 00620 (26.9%) | loss: 3.707314 | lrm: 1.00 | dt: 134ms | tok/sec: 245,206 | mfu: 3.0% | epoch: 1 | remaining: 219s    
step 00621 (27.0%) | loss: 3.717135 | lrm: 1.00 | dt: 134ms | tok/sec: 244,726 | mfu: 3.0% | epoch: 1 | remaining: 219s    
step 00622 (27.0%) | loss: 3.717204 | lrm: 1.00 | dt: 134ms | tok/sec: 245,136 | mfu: 3.0% | epoch: 1 | remaining: 219s    
step 00623 (27.0%) | loss: 3.718349 | lrm: 1.00 | dt: 134ms | tok/sec: 244,544 | mfu: 3.0% | epoch: 1 | remaining: 219s    
step 00624 (27.1%) | loss: 3.711785 | lrm: 1.00 | dt: 134ms | tok/sec: 245,009 | mfu: 3.0% | epoch: 1 | remaining: 219s    
step 00625 (27.1%) | loss: 3.710035 | lrm: 1.00 | dt: 134ms | tok/sec: 245,066 | mfu: 3.0% | epoch: 1 | remaining: 218s    
step 00626 (27.2%) | loss: 3.716531 | lrm: 1.00 | dt: 134ms | tok/sec: 245,321 | mfu: 3.0% | epoch: 1 | remaining: 218s    
step 00627 (27.2%) | loss: 3.719196 | lrm: 1.00 | dt: 134ms | tok/sec: 245,201 | mfu: 3.0% | epoch: 1 | remaining: 218s    
step 00628 (27.3%) | loss: 3.728112 | lrm: 1.00 | dt: 134ms | tok/sec: 245,357 | mfu: 3.0% | epoch: 1 | remaining: 218s    
step 00629 (27.3%) | loss: 3.723919 | lrm: 1.00 | dt: 134ms | tok/sec: 244,531 | mfu: 3.0% | epoch: 1 | remaining: 218s    
step 00630 (27.4%) | loss: 3.733857 | lrm: 1.00 | dt: 134ms | tok/sec: 244,986 | mfu: 3.0% | epoch: 1 | remaining: 218s    
step 00631 (27.4%) | loss: 3.736453 | lrm: 1.00 | dt: 134ms | tok/sec: 245,107 | mfu: 3.0% | epoch: 1 | remaining: 218s    
step 00632 (27.4%) | loss: 3.740109 | lrm: 1.00 | dt: 134ms | tok/sec: 244,966 | mfu: 3.0% | epoch: 1 | remaining: 218s    
step 00633 (27.5%) | loss: 3.738745 | lrm: 1.00 | dt: 134ms | tok/sec: 245,064 | mfu: 3.0% | epoch: 1 | remaining: 217s    
step 00634 (27.5%) | loss: 3.736195 | lrm: 1.00 | dt: 134ms | tok/sec: 244,965 | mfu: 3.0% | epoch: 1 | remaining: 217s    
step 00635 (27.6%) | loss: 3.732873 | lrm: 1.00 | dt: 134ms | tok/sec: 245,208 | mfu: 3.0% | epoch: 1 | remaining: 217s    
step 00636 (27.6%) | loss: 3.727883 | lrm: 1.00 | dt: 134ms | tok/sec: 244,889 | mfu: 3.0% | epoch: 1 | remaining: 217s    
step 00637 (27.7%) | loss: 3.740315 | lrm: 1.00 | dt: 134ms | tok/sec: 245,266 | mfu: 3.0% | epoch: 1 | remaining: 217s    
step 00638 (27.7%) | loss: 3.732955 | lrm: 1.00 | dt: 134ms | tok/sec: 245,207 | mfu: 3.0% | epoch: 1 | remaining: 217s    
step 00639 (27.8%) | loss: 3.731977 | lrm: 1.00 | dt: 134ms | tok/sec: 245,089 | mfu: 3.0% | epoch: 1 | remaining: 217s    
step 00640 (27.8%) | loss: 3.710400 | lrm: 1.00 | dt: 134ms | tok/sec: 245,279 | mfu: 3.0% | epoch: 1 | remaining: 216s    
step 00641 (27.8%) | loss: 3.709917 | lrm: 1.00 | dt: 134ms | tok/sec: 244,939 | mfu: 3.0% | epoch: 1 | remaining: 216s    
step 00642 (27.9%) | loss: 3.713932 | lrm: 1.00 | dt: 134ms | tok/sec: 244,685 | mfu: 3.0% | epoch: 1 | remaining: 216s    
step 00643 (27.9%) | loss: 3.705486 | lrm: 1.00 | dt: 134ms | tok/sec: 245,081 | mfu: 3.0% | epoch: 1 | remaining: 216s    
step 00644 (28.0%) | loss: 3.711023 | lrm: 1.00 | dt: 134ms | tok/sec: 245,036 | mfu: 3.0% | epoch: 1 | remaining: 216s    
step 00645 (28.0%) | loss: 3.702383 | lrm: 1.00 | dt: 134ms | tok/sec: 244,883 | mfu: 3.0% | epoch: 1 | remaining: 216s    
step 00646 (28.1%) | loss: 3.698180 | lrm: 1.00 | dt: 134ms | tok/sec: 245,171 | mfu: 3.0% | epoch: 1 | remaining: 216s    
step 00647 (28.1%) | loss: 3.689028 | lrm: 1.00 | dt: 134ms | tok/sec: 244,983 | mfu: 3.0% | epoch: 1 | remaining: 216s    
step 00648 (28.2%) | loss: 3.681055 | lrm: 1.00 | dt: 134ms | tok/sec: 244,694 | mfu: 3.0% | epoch: 1 | remaining: 215s    
step 00649 (28.2%) | loss: 3.669113 | lrm: 1.00 | dt: 134ms | tok/sec: 245,188 | mfu: 3.0% | epoch: 1 | remaining: 215s    
step 00650 (28.2%) | loss: 3.668764 | lrm: 1.00 | dt: 134ms | tok/sec: 245,013 | mfu: 3.0% | epoch: 1 | remaining: 215s    
step 00651 (28.3%) | loss: 3.668166 | lrm: 1.00 | dt: 134ms | tok/sec: 244,826 | mfu: 3.0% | epoch: 1 | remaining: 215s    
step 00652 (28.3%) | loss: 3.671457 | lrm: 1.00 | dt: 134ms | tok/sec: 245,244 | mfu: 3.0% | epoch: 1 | remaining: 215s    
step 00653 (28.4%) | loss: 3.665149 | lrm: 1.00 | dt: 134ms | tok/sec: 244,597 | mfu: 3.0% | epoch: 1 | remaining: 215s    
step 00654 (28.4%) | loss: 3.669143 | lrm: 1.00 | dt: 134ms | tok/sec: 245,143 | mfu: 3.0% | epoch: 1 | remaining: 215s    
step 00655 (28.5%) | loss: 3.676005 | lrm: 1.00 | dt: 134ms | tok/sec: 244,970 | mfu: 3.0% | epoch: 1 | remaining: 214s    
step 00656 (28.5%) | loss: 3.678020 | lrm: 1.00 | dt: 134ms | tok/sec: 244,967 | mfu: 3.0% | epoch: 1 | remaining: 214s    
step 00657 (28.6%) | loss: 3.664835 | lrm: 1.00 | dt: 134ms | tok/sec: 245,094 | mfu: 3.0% | epoch: 1 | remaining: 214s    
step 00658 (28.6%) | loss: 3.668956 | lrm: 1.00 | dt: 134ms | tok/sec: 244,742 | mfu: 3.0% | epoch: 1 | remaining: 214s    
step 00659 (28.6%) | loss: 3.662954 | lrm: 1.00 | dt: 134ms | tok/sec: 245,063 | mfu: 3.0% | epoch: 1 | remaining: 214s    
step 00660 (28.7%) | loss: 3.662861 | lrm: 1.00 | dt: 134ms | tok/sec: 244,785 | mfu: 3.0% | epoch: 1 | remaining: 214s    
step 00661 (28.7%) | loss: 3.659763 | lrm: 1.00 | dt: 134ms | tok/sec: 245,374 | mfu: 3.0% | epoch: 1 | remaining: 214s    
step 00662 (28.8%) | loss: 3.651297 | lrm: 1.00 | dt: 134ms | tok/sec: 245,070 | mfu: 3.0% | epoch: 1 | remaining: 214s    
step 00663 (28.8%) | loss: 3.652317 | lrm: 1.00 | dt: 134ms | tok/sec: 245,335 | mfu: 3.0% | epoch: 1 | remaining: 213s    
step 00664 (28.9%) | loss: 3.658801 | lrm: 1.00 | dt: 134ms | tok/sec: 245,204 | mfu: 3.0% | epoch: 1 | remaining: 213s    
step 00665 (28.9%) | loss: 3.664290 | lrm: 1.00 | dt: 134ms | tok/sec: 245,071 | mfu: 3.0% | epoch: 1 | remaining: 213s    
step 00666 (29.0%) | loss: 3.652855 | lrm: 1.00 | dt: 134ms | tok/sec: 244,756 | mfu: 3.0% | epoch: 1 | remaining: 213s    
step 00667 (29.0%) | loss: 3.645738 | lrm: 1.00 | dt: 134ms | tok/sec: 245,096 | mfu: 3.0% | epoch: 1 | remaining: 213s    
step 00668 (29.1%) | loss: 3.665751 | lrm: 1.00 | dt: 134ms | tok/sec: 245,204 | mfu: 3.0% | epoch: 1 | remaining: 213s    
step 00669 (29.1%) | loss: 3.658723 | lrm: 1.00 | dt: 134ms | tok/sec: 244,728 | mfu: 3.0% | epoch: 1 | remaining: 213s    
step 00670 (29.1%) | loss: 3.654119 | lrm: 1.00 | dt: 134ms | tok/sec: 245,207 | mfu: 3.0% | epoch: 1 | remaining: 212s    
step 00671 (29.2%) | loss: 3.655445 | lrm: 1.00 | dt: 134ms | tok/sec: 245,024 | mfu: 3.0% | epoch: 1 | remaining: 212s    
step 00672 (29.2%) | loss: 3.674825 | lrm: 1.00 | dt: 134ms | tok/sec: 244,945 | mfu: 3.0% | epoch: 1 | remaining: 212s    
step 00673 (29.3%) | loss: 3.675973 | lrm: 1.00 | dt: 134ms | tok/sec: 244,561 | mfu: 3.0% | epoch: 1 | remaining: 212s    
step 00674 (29.3%) | loss: 3.683730 | lrm: 1.00 | dt: 134ms | tok/sec: 245,167 | mfu: 3.0% | epoch: 1 | remaining: 212s    
step 00675 (29.4%) | loss: 3.689745 | lrm: 1.00 | dt: 134ms | tok/sec: 244,659 | mfu: 3.0% | epoch: 1 | remaining: 212s    
step 00676 (29.4%) | loss: 3.677404 | lrm: 1.00 | dt: 134ms | tok/sec: 245,188 | mfu: 3.0% | epoch: 1 | remaining: 212s    
step 00677 (29.5%) | loss: 3.674173 | lrm: 1.00 | dt: 134ms | tok/sec: 244,497 | mfu: 3.0% | epoch: 1 | remaining: 212s    
step 00678 (29.5%) | loss: 3.665346 | lrm: 1.00 | dt: 134ms | tok/sec: 244,761 | mfu: 3.0% | epoch: 1 | remaining: 211s    
step 00679 (29.5%) | loss: 3.665204 | lrm: 1.00 | dt: 134ms | tok/sec: 244,655 | mfu: 3.0% | epoch: 1 | remaining: 211s    
step 00680 (29.6%) | loss: 3.679040 | lrm: 1.00 | dt: 134ms | tok/sec: 244,370 | mfu: 3.0% | epoch: 1 | remaining: 211s    
step 00681 (29.6%) | loss: 3.675725 | lrm: 1.00 | dt: 134ms | tok/sec: 244,630 | mfu: 3.0% | epoch: 1 | remaining: 211s    
step 00682 (29.7%) | loss: 3.663217 | lrm: 1.00 | dt: 134ms | tok/sec: 245,085 | mfu: 3.0% | epoch: 1 | remaining: 211s    
step 00683 (29.7%) | loss: 3.663554 | lrm: 1.00 | dt: 134ms | tok/sec: 244,572 | mfu: 3.0% | epoch: 1 | remaining: 211s    
step 00684 (29.8%) | loss: 3.667216 | lrm: 1.00 | dt: 134ms | tok/sec: 244,780 | mfu: 3.0% | epoch: 1 | remaining: 211s    
step 00685 (29.8%) | loss: 3.670112 | lrm: 1.00 | dt: 134ms | tok/sec: 244,682 | mfu: 3.0% | epoch: 1 | remaining: 210s    
step 00686 (29.9%) | loss: 3.669536 | lrm: 1.00 | dt: 134ms | tok/sec: 245,105 | mfu: 3.0% | epoch: 1 | remaining: 210s    
step 00687 (29.9%) | loss: 3.677307 | lrm: 1.00 | dt: 134ms | tok/sec: 244,999 | mfu: 3.0% | epoch: 1 | remaining: 210s    
step 00688 (29.9%) | loss: 3.671359 | lrm: 1.00 | dt: 134ms | tok/sec: 245,163 | mfu: 3.0% | epoch: 1 | remaining: 210s    
step 00689 (30.0%) | loss: 3.669273 | lrm: 1.00 | dt: 134ms | tok/sec: 244,855 | mfu: 3.0% | epoch: 1 | remaining: 210s    
step 00690 (30.0%) | loss: 3.659710 | lrm: 1.00 | dt: 134ms | tok/sec: 244,952 | mfu: 3.0% | epoch: 1 | remaining: 210s    
step 00691 (30.1%) | loss: 3.664975 | lrm: 1.00 | dt: 134ms | tok/sec: 244,712 | mfu: 3.0% | epoch: 1 | remaining: 210s    
step 00692 (30.1%) | loss: 3.654315 | lrm: 1.00 | dt: 134ms | tok/sec: 245,144 | mfu: 3.0% | epoch: 1 | remaining: 210s    
step 00693 (30.2%) | loss: 3.669742 | lrm: 1.00 | dt: 134ms | tok/sec: 244,564 | mfu: 3.0% | epoch: 1 | remaining: 209s    
step 00694 (30.2%) | loss: 3.663743 | lrm: 1.00 | dt: 134ms | tok/sec: 244,590 | mfu: 3.0% | epoch: 1 | remaining: 209s    
step 00695 (30.3%) | loss: 3.676630 | lrm: 1.00 | dt: 134ms | tok/sec: 245,003 | mfu: 3.0% | epoch: 1 | remaining: 209s    
step 00696 (30.3%) | loss: 3.661108 | lrm: 1.00 | dt: 134ms | tok/sec: 245,119 | mfu: 3.0% | epoch: 1 | remaining: 209s    
step 00697 (30.3%) | loss: 3.655322 | lrm: 1.00 | dt: 134ms | tok/sec: 244,846 | mfu: 3.0% | epoch: 1 | remaining: 209s    
step 00698 (30.4%) | loss: 3.656501 | lrm: 1.00 | dt: 134ms | tok/sec: 245,141 | mfu: 3.0% | epoch: 1 | remaining: 209s    
step 00699 (30.4%) | loss: 3.656317 | lrm: 1.00 | dt: 134ms | tok/sec: 244,896 | mfu: 3.0% | epoch: 1 | remaining: 209s    
step 00700 (30.5%) | loss: 3.668521 | lrm: 1.00 | dt: 134ms | tok/sec: 245,114 | mfu: 3.0% | epoch: 1 | remaining: 208s    
step 00701 (30.5%) | loss: 3.678250 | lrm: 1.00 | dt: 134ms | tok/sec: 245,156 | mfu: 3.0% | epoch: 1 | remaining: 208s    
step 00702 (30.6%) | loss: 3.670667 | lrm: 1.00 | dt: 134ms | tok/sec: 245,037 | mfu: 3.0% | epoch: 1 | remaining: 208s    
step 00703 (30.6%) | loss: 3.675190 | lrm: 1.00 | dt: 134ms | tok/sec: 244,694 | mfu: 3.0% | epoch: 1 | remaining: 208s    
step 00704 (30.7%) | loss: 3.668082 | lrm: 1.00 | dt: 134ms | tok/sec: 244,928 | mfu: 3.0% | epoch: 1 | remaining: 208s    
step 00705 (30.7%) | loss: 3.668077 | lrm: 1.00 | dt: 134ms | tok/sec: 244,685 | mfu: 3.0% | epoch: 1 | remaining: 208s    
step 00706 (30.7%) | loss: 3.674817 | lrm: 1.00 | dt: 134ms | tok/sec: 244,714 | mfu: 3.0% | epoch: 1 | remaining: 208s    
step 00707 (30.8%) | loss: 3.687441 | lrm: 1.00 | dt: 134ms | tok/sec: 245,240 | mfu: 3.0% | epoch: 1 | remaining: 207s    
step 00708 (30.8%) | loss: 3.655319 | lrm: 1.00 | dt: 134ms | tok/sec: 245,135 | mfu: 3.0% | epoch: 1 | remaining: 207s    
step 00709 (30.9%) | loss: 3.637441 | lrm: 1.00 | dt: 134ms | tok/sec: 245,308 | mfu: 3.0% | epoch: 1 | remaining: 207s    
step 00710 (30.9%) | loss: 3.638743 | lrm: 1.00 | dt: 134ms | tok/sec: 245,027 | mfu: 3.0% | epoch: 1 | remaining: 207s    
step 00711 (31.0%) | loss: 3.637756 | lrm: 1.00 | dt: 134ms | tok/sec: 244,854 | mfu: 3.0% | epoch: 1 | remaining: 207s    
